#,施設名,ステータス（表示用）,ステータス,キャリア,所在地,緯度,経度,マッピング上の特記事項,提供サービス,開設時間,定休日,対象者,利用に関する特記事項,出典,出典確認日時,都道府県,市区町村,地名以下
138,ドコモショップ帯広競馬場通り店,通常営業（ドコモ）,通常営業,ドコモ,北海道 帯広市 西10条南10丁目 2,42.9199851,143.1897149,,充電,"11:00 - 20:00

【営業時間変更】
2018年10月9日（火）：10:00 - 17:00",無休,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,帯広市,西10条南10丁目 2
139,ドコモショップ稚内大黒店,通常営業（ドコモ）,通常営業,ドコモ,北海道 稚内市 大黒 5丁目 4-10,45.3964392,141.6943589,,充電,10:00 - 19:00,"第3火曜

【臨時営業日】
2018年10月16日（火）

【臨時休業日】
2018年10月11日（木）",,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,稚内市,大黒 5丁目 4-10
140,ドコモショップ稚内店,通常営業（ドコモ）,通常営業,ドコモ,北海道 稚内市 潮見 2丁目 4-14,45.3956922,141.6995252,,充電,10:00 - 19:00,第3水曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,稚内市,潮見 2丁目 4-14
141,札幌市東区体育館,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 札幌市東区 北27条 東14丁目 3-1,43.0975114,141.3686202,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,札幌市東区,北27条 東14丁目 3-1
142,札幌市白石区体育館,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 札幌市白石区 南郷通 6丁目北 1-1,43.0423962,141.4082088,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,札幌市白石区,南郷通 6丁目北 1-1
143,札幌市立北白石小学校・中学校,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 札幌市白石区 北郷 6条 3丁目 5-2,43.0646501,141.4180427,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,札幌市白石区,北郷 6条 3丁目 5-2
144,日高町 水・くらしサービスセンター,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 沙流郡日高町 富川東 6丁目3-1,42.4980156,142.0508068,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,沙流郡日高町,富川東 6丁目3-1
145,むかわ町役場,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡むかわ町 美幸 2丁目88,42.5748399,141.926742,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡むかわ町,美幸 2丁目88
146,春日生活館,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡むかわ町 春日 235-3,42.5831383,141.9985775,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡むかわ町,春日 235-3
147,仁和会館,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡むかわ町 穂別仁和 339,42.6607342,142.0799228,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡むかわ町,穂別仁和 339
148,富内銀河会館,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡むかわ町 穂別富内 81-1,42.7836007,142.2203337,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡むかわ町,穂別富内 81-1
