名称,名称（基本）,所在地,緯度,経度,標高 (m),津波発生時,耐震性,対応している災害,対応していない災害,欲しいもの,足りているもの,困っていること,その他連絡事項,福祉,状況,避難所の種類,避難所の種類・状況,開設日時,閉鎖日時,避難者数,避難者数のカウント日時,出典,不明点,確認日時,編集者
（閉鎖）菊池高校体育館,菊池高校体育館,熊本県 菊池市 隈府 1332-1,32.9863158,130.8109939,75.4865799,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kikuchi.lg.jp/q/aview/52/10025.html,,2016-07-10 23:02 +0900,藤田 周
（閉鎖）やまびこ体育館,やまびこ体育館,熊本県 菊池市 亘 538-2,32.9870163,130.8225649,122.7244797,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kikuchi.lg.jp/q/aview/52/10025.html,,2016-07-10 23:02 +0900,藤田 周
（閉鎖）七城老人福祉センター,七城老人福祉センター,熊本県 菊池市 隈府 110-4,32.9826243,130.8078277,69.84130096,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kikuchi.lg.jp/q/aview/52/10025.html,,2016-07-10 23:02 +0900,藤田 周
（閉鎖）旭志中学校体育館,旭志中学校体育館,熊本県 菊池市 旭志小原 224,32.945689,130.8563969,116.4406052,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kikuchi.lg.jp/q/aview/52/10025.html,,2016-07-10 23:02 +0900,藤田 周
（閉鎖）泗水小学校体育館,泗水小学校体育館,熊本県 菊池市 泗水町豊水 3481,32.9245068,130.7742825,51.2964859,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kikuchi.lg.jp/q/aview/52/10025.html,,2016-07-10 23:02 +0900,藤田 周
（閉鎖）菊池南中体育館,菊池南中体育館,熊本県 菊池市 隈府 833,32.9776109,130.8116415,64.12684631,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kikuchi.lg.jp/q/aview/52/10025.html,,2016-07-10 23:02 +0900,藤田 周
（閉鎖）河原体育館,河原体育館,熊本県 菊池市 下河原 4692,32.9698451,130.8346537,67.54955292,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kikuchi.lg.jp/q/aview/52/10025.html,,2016-07-10 23:02 +0900,藤田 周
（閉鎖）迫水体育館,迫水体育館,熊本県 菊池市 重味 2836-1,33.0161104,130.8684127,284.3954163,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kikuchi.lg.jp/q/aview/52/10025.html,,2016-07-10 23:02 +0900,藤田 周
（閉鎖）きくちふるさと水源交流館グラウンド,きくちふるさと水源交流館グラウンド,熊本県 菊池市 原 1600,33.0019622,130.8725877,287.543335,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kikuchi.lg.jp/q/aview/52/10025.html,,2016-07-10 23:02 +0900,藤田 周
（閉鎖）竜門ダム防災情報施設,竜門ダム防災情報施設,熊本県 菊池市 龍門 870,33.037563,130.8468246,272.8501892,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kikuchi.lg.jp/q/aview/52/10025.html,,2016-07-10 23:02 +0900,藤田 周
（詳細不明）泉ケ丘市民センター,泉ケ丘市民センター,熊本県 合志市 幾久富 1947-7,32.8691087,130.7691533,61.84469223,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）みどり館,みどり館,熊本県 合志市 栄 2371,32.9012419,130.771003,66.079216,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）ふれあい館,ふれあい館,熊本県 合志市 須屋 2251-1,32.8732556,130.7338473,69.96481323,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）御代志市民センター,御代志市民センター,熊本県 合志市 御代志 1661-1,32.8892403,130.7447295,88.19850159,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,不明,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）須屋市民センター,須屋市民センター,熊本県 合志市 須屋 1399,32.8572876,130.7391779,40.33054733,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,不明,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）【車中泊専用】中央運動公園グラウンド,中央運動公園グラウンド,熊本県 合志市 野々島 5500,32.892319,130.734417,88.89332581,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,車中泊専用,車中泊専用・閉鎖,,不明,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）ヴィーブル緑地,ヴィーブル緑地,熊本県 合志市 福原 2922,32.885988,130.791159,105.6913223,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-05-02 12:00 +0900,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）ひまわり公園,ひまわり公園,熊本県 合志市 御代志 1661-21,32.891158,130.744494,86.15890503,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）黒石市民センター,黒石市民センター,熊本県 合志市 須屋 2788,32.8718502,130.7439523,67.29331207,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-05-02 12:00 +0900,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）市総合センターふれあい緑地,市総合センターふれあい緑地,熊本県 合志市 福原,32.8907623,130.7966341,81.95335388,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）合生文化会館,合生文化会館,熊本県 合志市 合生 3616,32.9137939,130.753798,58.00375748,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-05-02 12:00 +0900,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）野々島公民館,野々島公民館,熊本県 合志市 野々島 4855,32.9066555,130.7386073,70.94018555,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）南ケ丘小学校体育館,南ケ丘小学校体育館,熊本県 合志市 幾久富 1909-101,32.8626288,130.7722032,65.80857086,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）西合志南中学校体育館,西合志南中学校体育館,熊本県 合志市 須屋 2956,32.8658229,130.7418193,66.25111389,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）須屋浄化センター,須屋浄化センター,熊本県 合志市 須屋 607-2,32.8527685,130.7293506,30.40182495,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）西合志庁舎,西合志庁舎,熊本県 合志市 御代志 1661-1,32.8892403,130.7447295,88.19850159,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）合志市役所（合志庁舎）,合志市役所（合志庁舎）,熊本県 合志市 竹迫 2140,32.8860072,130.7897403,99.50667572,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）妙泉寺体育館,妙泉寺体育館,熊本県 合志市 須屋 1957,32.8595513,130.7330781,55.51374435,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-05-02 12:00 +0900,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）第一小学校体育館,第一小学校体育館,熊本県 合志市 合生 2197,32.9144439,130.7572256,61.61541367,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）西合志南小学校体育館,西合志南小学校体育館,熊本県 合志市 須屋 1873,32.8622566,130.7355141,62.81904984,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）西合志中学校体育館,西合志中学校体育館,熊本県 合志市 野々島 4393-1,32.8985172,130.7440376,74.24419403,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）泉ケ丘体育館,泉ケ丘体育館,熊本県 合志市 豊岡 2526-9,32.869442,130.76867,64.4234314,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.city.koshi.lg.jp/kinkyu/pub/default.aspx?c_id=1
http://www.city.koshi.lg.jp/kiji/pub/detail.aspx?c_id=37&id=3667",,2016-07-10 23:10 +0900,藤田 周
（閉鎖）大津町老人福祉センター,大津町老人福祉センター,熊本県 菊池郡大津町 室 151-1,32.8785703,130.867048,119.6708527,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）大津地区公民館分館,大津地区公民館分館,熊本県 菊池郡大津町 室 2042-35,32.881072,130.863728,145.08284,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）大津町生涯学習センター,大津町生涯学習センター,熊本県 菊池郡大津町 大字引水 62,32.8760347,130.8758168,125.777092,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）大津町総合体育館,大津町総合体育館,熊本県 菊池郡大津町 森 1000,32.8747938,130.8966455,146.6903839,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）楽善ふれあいプラザ,楽善ふれあいプラザ,熊本県 菊池郡大津町 大字大津 214-1,32.8863113,130.8661341,167.6214294,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）大津町人権啓発福祉センター,大津町人権啓発福祉センター,熊本県 菊池郡大津町 杉水 932-3,32.8980929,130.8440327,144.1882324,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）吹田公民館＜詳細位置不明＞,吹田公民館,熊本県 菊池郡大津町,,,,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,詳細位置不明,2016-07-10 23:10 +0900,藤田 周
（閉鎖）平川地区公民館分館,平川地区公民館分館,熊本県 菊池郡大津町 平川 476-2,32.906423,130.876888,147.2239685,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）野外活動等研修センター（旧 真城小学校）,野外活動等研修センター（旧 真城小学校）,熊本県 菊池郡大津町 真木 136,32.9136435,130.9207977,304.7081909,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）矢護川コミュニティセンター,矢護川コミュニティセンター,熊本県 菊池郡大津町 矢護川 476,32.9175419,130.881474,195.024231,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）陣内地区公民館分館,陣内地区公民館分館,熊本県 菊池郡大津町 大字陣内 1489-1,32.8618414,130.8724424,101.333847,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）大津町子育て・健診センター,大津町子育て・健診センター,熊本県 菊池郡大津町 大字大津 1156-3,32.8766984,130.8707922,117.1623611,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）大津東小学校,大津東小学校,熊本県 菊池郡大津町 大林 44,32.8665563,130.9170688,119.9218063,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）大津北中学校,大津北中学校,熊本県 菊池郡大津町 大津 310,32.8894777,130.8684561,173.2264252,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）室小学校,室小学校,熊本県 菊池郡大津町 室 1825,32.8842863,130.8596818,162.2724304,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）大津小学校,大津小学校,熊本県 菊池郡大津町 引水 210,32.8770236,130.8799026,127.2719421,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）大津中学校,大津中学校,熊本県 菊池郡大津町 大津 1270,32.8736931,130.8691257,110.205101,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）護川小学校,護川小学校,熊本県 菊池郡大津町 杉水 3092,32.9100253,130.8501763,163.8849487,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）大津北小学校,大津北小学校,熊本県 菊池郡大津町 平川 2261,32.9057377,130.8823299,151.6621857,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）大津町浄化センター,大津町浄化センター,熊本県 菊池郡大津町 陣内 1523,32.8591056,130.8724731,93.0845871,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）美咲野小学校,美咲野小学校,熊本県 菊池郡大津町 美咲野 2丁目1733-1,32.8850564,130.8861992,183.7428589,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）立石区公民館＜詳細位置不明＞,立石区公民館,熊本県 菊池郡大津町,,,,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,詳細位置不明,2016-07-10 23:10 +0900,藤田 周
（閉鎖）新小屋区公民館＜詳細位置不明＞,新小屋区公民館,熊本県 菊池郡大津町,,,,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,詳細位置不明,2016-07-10 23:10 +0900,藤田 周
（閉鎖）灰塚区公民館＜詳細位置不明＞,灰塚区公民館,熊本県 菊池郡大津町,,,,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,詳細位置不明,2016-07-10 23:10 +0900,藤田 周
（閉鎖）仮宿区公民館＜詳細位置不明＞,仮宿区公民館,熊本県 菊池郡大津町,,,,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,詳細位置不明,2016-07-10 23:10 +0900,藤田 周
（閉鎖）上中・御願所区公民館＜詳細位置不明＞,上中・御願所区公民館,熊本県 菊池郡大津町,,,,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,詳細位置不明,2016-07-10 23:10 +0900,藤田 周
（閉鎖）岩坂区公民館＜詳細位置不明＞,岩坂区公民館,熊本県 菊池郡大津町,,,,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,詳細位置不明,2016-07-10 23:10 +0900,藤田 周
（閉鎖）高尾野区公民館,高尾野区公民館,熊本県 菊池郡大津町 大字高尾野 10,32.8901119,130.8997506,222.8285828,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,,2016-07-10 23:10 +0900,藤田 周
（閉鎖）西嶽区公民館＜詳細位置不明＞,西嶽区公民館,熊本県 菊池郡大津町,,,,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,詳細位置不明,2016-07-10 23:10 +0900,藤田 周
（閉鎖）室区公民館＜詳細位置不明＞,室区公民館,熊本県 菊池郡大津町,,,,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.town.ozu.kumamoto.jp/emergency/_10624.html,詳細位置不明,2016-07-10 23:10 +0900,藤田 周
